PING 10.0.100.102 (10.0.100.102) 56(84) bytes of data.
64 bytes from 10.0.100.102: icmp_seq=1 ttl=63 time=3.08 ms
64 bytes from 10.0.100.102: icmp_seq=2 ttl=63 time=1.42 ms
64 bytes from 10.0.100.102: icmp_seq=3 ttl=63 time=0.869 ms
64 bytes from 10.0.100.102: icmp_seq=4 ttl=63 time=0.835 ms
64 bytes from 10.0.100.102: icmp_seq=5 ttl=63 time=0.798 ms
64 bytes from 10.0.100.102: icmp_seq=6 ttl=63 time=0.799 ms
64 bytes from 10.0.100.102: icmp_seq=7 ttl=63 time=0.815 ms
64 bytes from 10.0.100.102: icmp_seq=8 ttl=63 time=0.746 ms
64 bytes from 10.0.100.102: icmp_seq=9 ttl=63 time=0.754 ms
64 bytes from 10.0.100.102: icmp_seq=10 ttl=63 time=0.758 ms
64 bytes from 10.0.100.102: icmp_seq=11 ttl=63 time=0.786 ms
64 bytes from 10.0.100.102: icmp_seq=12 ttl=63 time=0.798 ms
64 bytes from 10.0.100.102: icmp_seq=13 ttl=63 time=0.829 ms
64 bytes from 10.0.100.102: icmp_seq=14 ttl=63 time=0.815 ms
64 bytes from 10.0.100.102: icmp_seq=15 ttl=63 time=0.771 ms
64 bytes from 10.0.100.102: icmp_seq=16 ttl=63 time=0.799 ms
64 bytes from 10.0.100.102: icmp_seq=17 ttl=63 time=0.858 ms
64 bytes from 10.0.100.102: icmp_seq=18 ttl=63 time=0.814 ms
64 bytes from 10.0.100.102: icmp_seq=19 ttl=63 time=0.734 ms
64 bytes from 10.0.100.102: icmp_seq=20 ttl=63 time=0.803 ms
64 bytes from 10.0.100.102: icmp_seq=21 ttl=63 time=0.734 ms
64 bytes from 10.0.100.102: icmp_seq=22 ttl=63 time=0.830 ms
64 bytes from 10.0.100.102: icmp_seq=23 ttl=63 time=0.817 ms
64 bytes from 10.0.100.102: icmp_seq=24 ttl=63 time=0.801 ms
64 bytes from 10.0.100.102: icmp_seq=25 ttl=63 time=0.935 ms
64 bytes from 10.0.100.102: icmp_seq=26 ttl=63 time=0.760 ms
64 bytes from 10.0.100.102: icmp_seq=27 ttl=63 time=0.794 ms
64 bytes from 10.0.100.102: icmp_seq=28 ttl=63 time=0.799 ms
64 bytes from 10.0.100.102: icmp_seq=29 ttl=63 time=0.737 ms
64 bytes from 10.0.100.102: icmp_seq=30 ttl=63 time=0.761 ms
64 bytes from 10.0.100.102: icmp_seq=31 ttl=63 time=0.740 ms
64 bytes from 10.0.100.102: icmp_seq=32 ttl=63 time=0.838 ms
64 bytes from 10.0.100.102: icmp_seq=33 ttl=63 time=0.793 ms
64 bytes from 10.0.100.102: icmp_seq=34 ttl=63 time=0.811 ms
64 bytes from 10.0.100.102: icmp_seq=35 ttl=63 time=0.803 ms
64 bytes from 10.0.100.102: icmp_seq=36 ttl=63 time=0.860 ms
64 bytes from 10.0.100.102: icmp_seq=37 ttl=63 time=0.824 ms
64 bytes from 10.0.100.102: icmp_seq=38 ttl=63 time=0.817 ms
64 bytes from 10.0.100.102: icmp_seq=39 ttl=63 time=0.757 ms
64 bytes from 10.0.100.102: icmp_seq=40 ttl=63 time=0.771 ms
64 bytes from 10.0.100.102: icmp_seq=41 ttl=63 time=0.769 ms
64 bytes from 10.0.100.102: icmp_seq=42 ttl=63 time=0.797 ms
64 bytes from 10.0.100.102: icmp_seq=43 ttl=63 time=0.819 ms
64 bytes from 10.0.100.102: icmp_seq=44 ttl=63 time=0.795 ms
64 bytes from 10.0.100.102: icmp_seq=45 ttl=63 time=0.788 ms
64 bytes from 10.0.100.102: icmp_seq=46 ttl=63 time=0.762 ms
64 bytes from 10.0.100.102: icmp_seq=47 ttl=63 time=0.838 ms
64 bytes from 10.0.100.102: icmp_seq=48 ttl=63 time=0.873 ms
64 bytes from 10.0.100.102: icmp_seq=49 ttl=63 time=0.655 ms
64 bytes from 10.0.100.102: icmp_seq=50 ttl=63 time=0.796 ms
64 bytes from 10.0.100.102: icmp_seq=51 ttl=63 time=0.959 ms
64 bytes from 10.0.100.102: icmp_seq=52 ttl=63 time=0.804 ms
64 bytes from 10.0.100.102: icmp_seq=53 ttl=63 time=0.779 ms
64 bytes from 10.0.100.102: icmp_seq=54 ttl=63 time=0.777 ms
64 bytes from 10.0.100.102: icmp_seq=55 ttl=63 time=0.796 ms
64 bytes from 10.0.100.102: icmp_seq=56 ttl=63 time=0.781 ms
64 bytes from 10.0.100.102: icmp_seq=57 ttl=63 time=0.811 ms
64 bytes from 10.0.100.102: icmp_seq=58 ttl=63 time=0.797 ms
64 bytes from 10.0.100.102: icmp_seq=59 ttl=63 time=0.744 ms
64 bytes from 10.0.100.102: icmp_seq=60 ttl=63 time=0.764 ms

--- 10.0.100.102 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59000ms
rtt min/avg/max/mdev = 0.655/0.846/3.081/0.306 ms
PING 10.0.100.102 (10.0.100.102) 56(84) bytes of data.
64 bytes from 10.0.100.102: icmp_seq=1 ttl=63 time=0.816 ms
64 bytes from 10.0.100.102: icmp_seq=2 ttl=63 time=0.795 ms
64 bytes from 10.0.100.102: icmp_seq=3 ttl=63 time=0.705 ms
64 bytes from 10.0.100.102: icmp_seq=4 ttl=63 time=0.798 ms
64 bytes from 10.0.100.102: icmp_seq=5 ttl=63 time=0.808 ms
64 bytes from 10.0.100.102: icmp_seq=6 ttl=63 time=1.02 ms
64 bytes from 10.0.100.102: icmp_seq=7 ttl=63 time=0.821 ms
64 bytes from 10.0.100.102: icmp_seq=8 ttl=63 time=0.842 ms
64 bytes from 10.0.100.102: icmp_seq=9 ttl=63 time=0.840 ms
64 bytes from 10.0.100.102: icmp_seq=10 ttl=63 time=0.748 ms
64 bytes from 10.0.100.102: icmp_seq=11 ttl=63 time=0.743 ms
64 bytes from 10.0.100.102: icmp_seq=12 ttl=63 time=0.766 ms
64 bytes from 10.0.100.102: icmp_seq=13 ttl=63 time=0.836 ms
64 bytes from 10.0.100.102: icmp_seq=14 ttl=63 time=0.844 ms
64 bytes from 10.0.100.102: icmp_seq=15 ttl=63 time=0.806 ms
64 bytes from 10.0.100.102: icmp_seq=16 ttl=63 time=0.783 ms
64 bytes from 10.0.100.102: icmp_seq=17 ttl=63 time=0.715 ms
64 bytes from 10.0.100.102: icmp_seq=18 ttl=63 time=0.816 ms
64 bytes from 10.0.100.102: icmp_seq=19 ttl=63 time=0.826 ms
64 bytes from 10.0.100.102: icmp_seq=20 ttl=63 time=0.738 ms
64 bytes from 10.0.100.102: icmp_seq=21 ttl=63 time=0.765 ms
64 bytes from 10.0.100.102: icmp_seq=22 ttl=63 time=0.894 ms
64 bytes from 10.0.100.102: icmp_seq=23 ttl=63 time=0.822 ms
64 bytes from 10.0.100.102: icmp_seq=24 ttl=63 time=0.816 ms
64 bytes from 10.0.100.102: icmp_seq=25 ttl=63 time=0.831 ms
64 bytes from 10.0.100.102: icmp_seq=26 ttl=63 time=0.796 ms
64 bytes from 10.0.100.102: icmp_seq=27 ttl=63 time=0.746 ms
64 bytes from 10.0.100.102: icmp_seq=28 ttl=63 time=0.846 ms
64 bytes from 10.0.100.102: icmp_seq=29 ttl=63 time=0.771 ms
64 bytes from 10.0.100.102: icmp_seq=30 ttl=63 time=0.793 ms
64 bytes from 10.0.100.102: icmp_seq=31 ttl=63 time=0.754 ms
64 bytes from 10.0.100.102: icmp_seq=32 ttl=63 time=0.765 ms
64 bytes from 10.0.100.102: icmp_seq=33 ttl=63 time=0.853 ms
64 bytes from 10.0.100.102: icmp_seq=34 ttl=63 time=0.823 ms
64 bytes from 10.0.100.102: icmp_seq=35 ttl=63 time=0.803 ms
64 bytes from 10.0.100.102: icmp_seq=36 ttl=63 time=0.822 ms
64 bytes from 10.0.100.102: icmp_seq=37 ttl=63 time=0.677 ms
64 bytes from 10.0.100.102: icmp_seq=38 ttl=63 time=0.839 ms
64 bytes from 10.0.100.102: icmp_seq=39 ttl=63 time=0.929 ms
64 bytes from 10.0.100.102: icmp_seq=40 ttl=63 time=0.799 ms
64 bytes from 10.0.100.102: icmp_seq=41 ttl=63 time=0.820 ms
64 bytes from 10.0.100.102: icmp_seq=42 ttl=63 time=0.798 ms
64 bytes from 10.0.100.102: icmp_seq=43 ttl=63 time=0.858 ms
64 bytes from 10.0.100.102: icmp_seq=44 ttl=63 time=0.795 ms
64 bytes from 10.0.100.102: icmp_seq=45 ttl=63 time=0.813 ms
64 bytes from 10.0.100.102: icmp_seq=46 ttl=63 time=0.825 ms
