PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=1.76 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.730 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.545 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.561 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.710 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.647 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.686 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.729 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.728 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.680 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.695 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.687 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.605 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.731 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.669 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.684 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.659 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.640 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.609 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.552 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.718 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.627 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.613 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.543 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.556 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.551 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.574 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.555 ms
