PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=1.56 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.736 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.486 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.391 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.467 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.481 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.581 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.576 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.584 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.578 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.598 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.358 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.460 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.480 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.630 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.618 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.478 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.609 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.646 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.381 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.441 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.507 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.574 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.705 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.639 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.575 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.526 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.521 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.566 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.504 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.468 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.585 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.591 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.604 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.532 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.572 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.610 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.627 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.590 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.644 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.584 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.593 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.531 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.443 ms
