PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=764 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=1.05 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.807 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.670 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.621 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.609 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.651 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.644 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.603 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.647 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.653 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.670 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.580 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.673 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.713 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.648 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.717 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.669 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.606 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.497 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.698 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.530 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.689 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.672 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.703 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.755 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.721 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.614 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.547 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.638 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.594 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.582 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.545 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.574 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.626 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.520 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.518 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.347 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.630 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.792 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.648 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.694 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.545 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.598 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.574 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.647 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.444 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.628 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.606 ms
64 bytes from 10.0.100.129: icmp_seq=53 ttl=60 time=0.589 ms
64 bytes from 10.0.100.129: icmp_seq=54 ttl=60 time=0.539 ms
64 bytes from 10.0.100.129: icmp_seq=55 ttl=60 time=0.602 ms
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.590 ms
