PING 14.0.0.22 (14.0.0.22) 56(84) bytes of data.
64 bytes from 14.0.0.22: icmp_seq=1 ttl=64 time=1.94 ms
64 bytes from 14.0.0.22: icmp_seq=2 ttl=64 time=0.874 ms
64 bytes from 14.0.0.22: icmp_seq=3 ttl=64 time=0.576 ms
64 bytes from 14.0.0.22: icmp_seq=4 ttl=64 time=0.650 ms
64 bytes from 14.0.0.22: icmp_seq=5 ttl=64 time=0.548 ms
64 bytes from 14.0.0.22: icmp_seq=6 ttl=64 time=0.596 ms
64 bytes from 14.0.0.22: icmp_seq=7 ttl=64 time=0.550 ms
64 bytes from 14.0.0.22: icmp_seq=8 ttl=64 time=0.559 ms
64 bytes from 14.0.0.22: icmp_seq=9 ttl=64 time=0.588 ms
64 bytes from 14.0.0.22: icmp_seq=10 ttl=64 time=0.570 ms
64 bytes from 14.0.0.22: icmp_seq=11 ttl=64 time=0.516 ms
64 bytes from 14.0.0.22: icmp_seq=12 ttl=64 time=0.551 ms
64 bytes from 14.0.0.22: icmp_seq=13 ttl=64 time=0.466 ms
64 bytes from 14.0.0.22: icmp_seq=14 ttl=64 time=0.546 ms
64 bytes from 14.0.0.22: icmp_seq=15 ttl=64 time=0.511 ms
64 bytes from 14.0.0.22: icmp_seq=16 ttl=64 time=0.478 ms
64 bytes from 14.0.0.22: icmp_seq=17 ttl=64 time=0.506 ms
64 bytes from 14.0.0.22: icmp_seq=18 ttl=64 time=0.545 ms
64 bytes from 14.0.0.22: icmp_seq=19 ttl=64 time=0.554 ms
64 bytes from 14.0.0.22: icmp_seq=20 ttl=64 time=0.402 ms
64 bytes from 14.0.0.22: icmp_seq=21 ttl=64 time=0.431 ms
64 bytes from 14.0.0.22: icmp_seq=22 ttl=64 time=0.650 ms
64 bytes from 14.0.0.22: icmp_seq=23 ttl=64 time=0.628 ms
64 bytes from 14.0.0.22: icmp_seq=24 ttl=64 time=0.650 ms
64 bytes from 14.0.0.22: icmp_seq=25 ttl=64 time=0.592 ms
64 bytes from 14.0.0.22: icmp_seq=26 ttl=64 time=0.605 ms
64 bytes from 14.0.0.22: icmp_seq=27 ttl=64 time=0.560 ms
64 bytes from 14.0.0.22: icmp_seq=28 ttl=64 time=0.586 ms
64 bytes from 14.0.0.22: icmp_seq=29 ttl=64 time=0.578 ms
64 bytes from 14.0.0.22: icmp_seq=30 ttl=64 time=0.380 ms
64 bytes from 14.0.0.22: icmp_seq=31 ttl=64 time=0.398 ms
64 bytes from 14.0.0.22: icmp_seq=32 ttl=64 time=0.568 ms
64 bytes from 14.0.0.22: icmp_seq=33 ttl=64 time=0.532 ms
64 bytes from 14.0.0.22: icmp_seq=34 ttl=64 time=0.478 ms
