PING 14.0.0.22 (14.0.0.22) 56(84) bytes of data.
64 bytes from 14.0.0.22: icmp_seq=1 ttl=64 time=4.18 ms
64 bytes from 14.0.0.22: icmp_seq=2 ttl=64 time=0.644 ms
64 bytes from 14.0.0.22: icmp_seq=3 ttl=64 time=0.622 ms
64 bytes from 14.0.0.22: icmp_seq=4 ttl=64 time=0.621 ms
64 bytes from 14.0.0.22: icmp_seq=5 ttl=64 time=0.631 ms
64 bytes from 14.0.0.22: icmp_seq=6 ttl=64 time=0.598 ms
64 bytes from 14.0.0.22: icmp_seq=7 ttl=64 time=0.628 ms
64 bytes from 14.0.0.22: icmp_seq=8 ttl=64 time=0.719 ms
64 bytes from 14.0.0.22: icmp_seq=9 ttl=64 time=0.621 ms
64 bytes from 14.0.0.22: icmp_seq=10 ttl=64 time=0.643 ms
64 bytes from 14.0.0.22: icmp_seq=11 ttl=64 time=0.614 ms
64 bytes from 14.0.0.22: icmp_seq=12 ttl=64 time=0.615 ms
64 bytes from 14.0.0.22: icmp_seq=13 ttl=64 time=0.586 ms
64 bytes from 14.0.0.22: icmp_seq=14 ttl=64 time=0.595 ms
64 bytes from 14.0.0.22: icmp_seq=15 ttl=64 time=0.602 ms
64 bytes from 14.0.0.22: icmp_seq=16 ttl=64 time=0.596 ms
64 bytes from 14.0.0.22: icmp_seq=17 ttl=64 time=0.607 ms
64 bytes from 14.0.0.22: icmp_seq=18 ttl=64 time=0.603 ms
64 bytes from 14.0.0.22: icmp_seq=19 ttl=64 time=0.683 ms
64 bytes from 14.0.0.22: icmp_seq=20 ttl=64 time=0.668 ms
64 bytes from 14.0.0.22: icmp_seq=21 ttl=64 time=0.606 ms
64 bytes from 14.0.0.22: icmp_seq=22 ttl=64 time=0.588 ms
64 bytes from 14.0.0.22: icmp_seq=23 ttl=64 time=0.595 ms
64 bytes from 14.0.0.22: icmp_seq=24 ttl=64 time=0.632 ms
64 bytes from 14.0.0.22: icmp_seq=25 ttl=64 time=0.597 ms
64 bytes from 14.0.0.22: icmp_seq=26 ttl=64 time=0.649 ms
64 bytes from 14.0.0.22: icmp_seq=27 ttl=64 time=0.609 ms
64 bytes from 14.0.0.22: icmp_seq=28 ttl=64 time=0.629 ms
64 bytes from 14.0.0.22: icmp_seq=29 ttl=64 time=0.614 ms
64 bytes from 14.0.0.22: icmp_seq=30 ttl=64 time=0.597 ms
64 bytes from 14.0.0.22: icmp_seq=31 ttl=64 time=0.589 ms
64 bytes from 14.0.0.22: icmp_seq=32 ttl=64 time=0.619 ms
64 bytes from 14.0.0.22: icmp_seq=33 ttl=64 time=0.647 ms
64 bytes from 14.0.0.22: icmp_seq=34 ttl=64 time=0.655 ms
64 bytes from 14.0.0.22: icmp_seq=35 ttl=64 time=0.650 ms
64 bytes from 14.0.0.22: icmp_seq=36 ttl=64 time=0.602 ms
