PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=2.73 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.973 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.648 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.660 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.674 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.615 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.690 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.644 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.659 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.687 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.653 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.660 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.637 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.636 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.672 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.665 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.656 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.644 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.636 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.687 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.670 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.654 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.649 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.640 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.679 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.679 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.666 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.641 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.640 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.679 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.676 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.639 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.796 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.765 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.681 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.838 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.661 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.662 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.683 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.646 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.816 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.806 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.644 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.666 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.661 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.659 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.612 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.678 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.651 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.678 ms
