PING 14.0.0.22 (14.0.0.22) 56(84) bytes of data.
64 bytes from 14.0.0.22: icmp_seq=1 ttl=64 time=2.39 ms
64 bytes from 14.0.0.22: icmp_seq=2 ttl=64 time=0.891 ms
64 bytes from 14.0.0.22: icmp_seq=3 ttl=64 time=0.619 ms
64 bytes from 14.0.0.22: icmp_seq=4 ttl=64 time=0.518 ms
64 bytes from 14.0.0.22: icmp_seq=5 ttl=64 time=0.597 ms
64 bytes from 14.0.0.22: icmp_seq=6 ttl=64 time=0.623 ms
64 bytes from 14.0.0.22: icmp_seq=7 ttl=64 time=0.615 ms
64 bytes from 14.0.0.22: icmp_seq=8 ttl=64 time=0.603 ms
64 bytes from 14.0.0.22: icmp_seq=9 ttl=64 time=0.607 ms
64 bytes from 14.0.0.22: icmp_seq=10 ttl=64 time=0.614 ms
64 bytes from 14.0.0.22: icmp_seq=11 ttl=64 time=0.618 ms
64 bytes from 14.0.0.22: icmp_seq=12 ttl=64 time=0.589 ms
64 bytes from 14.0.0.22: icmp_seq=13 ttl=64 time=0.719 ms
64 bytes from 14.0.0.22: icmp_seq=14 ttl=64 time=0.620 ms
64 bytes from 14.0.0.22: icmp_seq=15 ttl=64 time=0.595 ms
64 bytes from 14.0.0.22: icmp_seq=16 ttl=64 time=0.609 ms
64 bytes from 14.0.0.22: icmp_seq=17 ttl=64 time=0.596 ms
64 bytes from 14.0.0.22: icmp_seq=18 ttl=64 time=0.604 ms
64 bytes from 14.0.0.22: icmp_seq=19 ttl=64 time=0.660 ms
64 bytes from 14.0.0.22: icmp_seq=20 ttl=64 time=0.600 ms
64 bytes from 14.0.0.22: icmp_seq=21 ttl=64 time=0.524 ms
64 bytes from 14.0.0.22: icmp_seq=22 ttl=64 time=0.735 ms
64 bytes from 14.0.0.22: icmp_seq=23 ttl=64 time=0.615 ms
64 bytes from 14.0.0.22: icmp_seq=24 ttl=64 time=0.636 ms
64 bytes from 14.0.0.22: icmp_seq=25 ttl=64 time=0.627 ms
64 bytes from 14.0.0.22: icmp_seq=26 ttl=64 time=0.618 ms
64 bytes from 14.0.0.22: icmp_seq=27 ttl=64 time=0.810 ms
64 bytes from 14.0.0.22: icmp_seq=28 ttl=64 time=0.633 ms
64 bytes from 14.0.0.22: icmp_seq=29 ttl=64 time=0.406 ms
64 bytes from 14.0.0.22: icmp_seq=30 ttl=64 time=0.624 ms
64 bytes from 14.0.0.22: icmp_seq=31 ttl=64 time=0.608 ms
64 bytes from 14.0.0.22: icmp_seq=32 ttl=64 time=0.599 ms
64 bytes from 14.0.0.22: icmp_seq=33 ttl=64 time=0.660 ms
64 bytes from 14.0.0.22: icmp_seq=34 ttl=64 time=0.615 ms
64 bytes from 14.0.0.22: icmp_seq=35 ttl=64 time=0.614 ms
64 bytes from 14.0.0.22: icmp_seq=36 ttl=64 time=0.618 ms
64 bytes from 14.0.0.22: icmp_seq=37 ttl=64 time=0.601 ms
64 bytes from 14.0.0.22: icmp_seq=38 ttl=64 time=0.607 ms
64 bytes from 14.0.0.22: icmp_seq=39 ttl=64 time=0.620 ms
64 bytes from 14.0.0.22: icmp_seq=40 ttl=64 time=0.593 ms
64 bytes from 14.0.0.22: icmp_seq=41 ttl=64 time=0.623 ms
64 bytes from 14.0.0.22: icmp_seq=42 ttl=64 time=0.605 ms
64 bytes from 14.0.0.22: icmp_seq=43 ttl=64 time=0.674 ms
64 bytes from 14.0.0.22: icmp_seq=44 ttl=64 time=0.639 ms
64 bytes from 14.0.0.22: icmp_seq=45 ttl=64 time=0.606 ms
64 bytes from 14.0.0.22: icmp_seq=46 ttl=64 time=0.595 ms
64 bytes from 14.0.0.22: icmp_seq=47 ttl=64 time=0.608 ms
64 bytes from 14.0.0.22: icmp_seq=48 ttl=64 time=0.608 ms
64 bytes from 14.0.0.22: icmp_seq=49 ttl=64 time=0.606 ms
64 bytes from 14.0.0.22: icmp_seq=50 ttl=64 time=0.598 ms
64 bytes from 14.0.0.22: icmp_seq=51 ttl=64 time=0.609 ms
64 bytes from 14.0.0.22: icmp_seq=52 ttl=64 time=0.598 ms
64 bytes from 14.0.0.22: icmp_seq=53 ttl=64 time=0.599 ms
64 bytes from 14.0.0.22: icmp_seq=54 ttl=64 time=0.602 ms
64 bytes from 14.0.0.22: icmp_seq=55 ttl=64 time=0.643 ms
64 bytes from 14.0.0.22: icmp_seq=56 ttl=64 time=0.607 ms
64 bytes from 14.0.0.22: icmp_seq=57 ttl=64 time=0.609 ms
64 bytes from 14.0.0.22: icmp_seq=58 ttl=64 time=0.613 ms
64 bytes from 14.0.0.22: icmp_seq=59 ttl=64 time=0.603 ms
64 bytes from 14.0.0.22: icmp_seq=60 ttl=64 time=0.588 ms

--- 14.0.0.22 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58999ms
rtt min/avg/max/mdev = 0.406/0.648/2.393/0.235 ms
PING 14.0.0.22 (14.0.0.22) 56(84) bytes of data.
64 bytes from 14.0.0.22: icmp_seq=1 ttl=64 time=0.621 ms
64 bytes from 14.0.0.22: icmp_seq=2 ttl=64 time=0.577 ms
64 bytes from 14.0.0.22: icmp_seq=3 ttl=64 time=0.616 ms
64 bytes from 14.0.0.22: icmp_seq=4 ttl=64 time=0.594 ms
64 bytes from 14.0.0.22: icmp_seq=5 ttl=64 time=0.588 ms
64 bytes from 14.0.0.22: icmp_seq=6 ttl=64 time=0.575 ms
64 bytes from 14.0.0.22: icmp_seq=7 ttl=64 time=0.589 ms
64 bytes from 14.0.0.22: icmp_seq=8 ttl=64 time=0.621 ms
64 bytes from 14.0.0.22: icmp_seq=9 ttl=64 time=0.623 ms
64 bytes from 14.0.0.22: icmp_seq=10 ttl=64 time=0.597 ms
64 bytes from 14.0.0.22: icmp_seq=11 ttl=64 time=0.740 ms
64 bytes from 14.0.0.22: icmp_seq=12 ttl=64 time=0.725 ms
64 bytes from 14.0.0.22: icmp_seq=13 ttl=64 time=0.650 ms
64 bytes from 14.0.0.22: icmp_seq=14 ttl=64 time=0.633 ms
64 bytes from 14.0.0.22: icmp_seq=15 ttl=64 time=0.670 ms
64 bytes from 14.0.0.22: icmp_seq=16 ttl=64 time=0.678 ms
64 bytes from 14.0.0.22: icmp_seq=17 ttl=64 time=0.689 ms
64 bytes from 14.0.0.22: icmp_seq=18 ttl=64 time=0.631 ms
64 bytes from 14.0.0.22: icmp_seq=19 ttl=64 time=0.651 ms
64 bytes from 14.0.0.22: icmp_seq=20 ttl=64 time=0.678 ms
64 bytes from 14.0.0.22: icmp_seq=21 ttl=64 time=0.691 ms
64 bytes from 14.0.0.22: icmp_seq=22 ttl=64 time=0.693 ms
64 bytes from 14.0.0.22: icmp_seq=23 ttl=64 time=0.579 ms
64 bytes from 14.0.0.22: icmp_seq=24 ttl=64 time=0.723 ms
64 bytes from 14.0.0.22: icmp_seq=25 ttl=64 time=0.706 ms
64 bytes from 14.0.0.22: icmp_seq=26 ttl=64 time=0.679 ms
64 bytes from 14.0.0.22: icmp_seq=27 ttl=64 time=0.631 ms
64 bytes from 14.0.0.22: icmp_seq=28 ttl=64 time=0.658 ms
64 bytes from 14.0.0.22: icmp_seq=29 ttl=64 time=0.580 ms
64 bytes from 14.0.0.22: icmp_seq=30 ttl=64 time=0.595 ms
